Timestamp,Gender,Boarding,Grade,Athlete,Activities,DHBreakfast,NDHBreakfast,BClass,DHBoxes,NDHBoxes,NDHMeals,Nutrition,Money
10/22/2020 11:36:55,Female,Day,12th,No,None of the above,0,2,No,2,0,0,0,40.00
10/22/2020 11:36:58,Male,Boarding,10th,Yes,Soccer,5,2,No,2,0,5,4,15.00
10/22/2020 11:36:59,Female,Day,9th,Yes,Tennis,3,7,Yes,2,0,10,4,50.00
10/22/2020 11:37:00,Male,Day,11th,No,None of the above,0,4,No,2,0,1,2,4.00
10/22/2020 11:37:01,Female,Day,12th,No,Musical,0,5,Yes,1,0,2,3,20.00
10/22/2020 11:37:10,Male,Boarding,11th,Yes,Soccer,6,1,Yes,2,1,2,2,
10/22/2020 11:37:24,Male,Boarding,10th,Yes,Pre-season conditioning,7,0,Yes,3,1,2,3,
10/22/2020 11:37:29,Female,Day,11th,Yes,Musical,0,7,No,1,0,0,2,
10/22/2020 11:37:37,Female,Boarding,12th,Yes,Tennis,2,0,Yes,2,0,4,2,5.00
10/22/2020 11:37:40,Female,Boarding,12th,Yes,Pre-season conditioning,4,3,Yes,,,4,3,50.00
10/22/2020 11:37:42,Male,Day,9th,Yes,None of the above,0,6,No,1,0,0,4,25.00
10/22/2020 11:37:50,Male,Boarding,10th,No,None of the above,7,0,No,2,0,2,1,
10/22/2020 11:37:59,Male,Day,9th,Yes,Soccer,0,7,No,3,0,0,3,12.00
10/22/2020 11:38:10,Non-Binary,Day,12th,Yes,Volleyball,0,4,Yes,2,0,2,4,
10/22/2020 11:38:14,Male,Boarding,10th,Yes,Football,5,2,Yes,2,1,3,4,10.00
10/22/2020 11:38:18,Female,Boarding,12th,No,Musical,1,2,Yes,2,0,1,2,12.00
10/22/2020 11:38:20,Female,Boarding,12th,Yes,Volleyball,6,0,Yes,2,0,2,3,20.00
10/22/2020 11:38:24,Female,Boarding,10th,Yes,Volleyball,2,5,No,2,0,5,5,5.00
10/22/2020 11:38:26,Male,Boarding,11th,No,Musical,6,1,Yes,2,1,1,4,
10/22/2020 11:38:28,Female,Boarding,12th,No,None of the above,0,3,Yes,4,2,10,1,30.00
10/22/2020 11:38:36,Female,Boarding,10th,Yes,Pre-season conditioning,7,7,Yes,2,0,6,3,
10/22/2020 11:38:48,Female,Boarding,9th,Yes,None of the above,2,1,Yes,2,0,4,3,8.00
