Date,Holiday,special_day,Avg_Temp,Max_Temp,Min_Temp,Season,Month,Day,Lunch_Main_Dish,Dinner_Main_Dish,Lunch_Count,Dinner_Count,MainMenu
2016-02-01,2016,0,-6.0,-1.0,-9.1,겨울,2,월,쇠불고기,자반고등어구이,1039,331,쇠불고기 / 자반고등어구이
2016-02-02,2016,0,-5.3,0.9,-10.0,겨울,2,화,가자미튀김,유산슬,867,560,가자미튀김 / 유산슬
2016-02-03,2016,0,-2.4,4.0,-8.3,겨울,2,수,치킨핑거,황태양념구이,1017,573,치킨핑거 / 황태양념구이
2016-02-04,2016,0,-0.7,3.9,-4.0,겨울,2,목,주꾸미볶음,멕시칸샐러드,978,525,주꾸미볶음 / 멕시칸샐러드
2016-02-05,2016,0,-2.2,3.4,-6.8,겨울,2,금,돈육씨앗강정,닭갈비,925,330,돈육씨앗강정 / 닭갈비
2016-02-11,2016,0,8.1,13.5,1.6,겨울,2,목,훈제오리구이,군만두,1045,550,훈제오리구이 / 군만두
2016-02-12,2016,0,8.4,10.0,6.8,겨울,2,금,돈육굴소스볶음,미니함박,909,598,돈육굴소스볶음 / 미니함박
2016-02-15,2016,0,-5.8,-2.3,-10.0,겨울,2,월,닭감자조림,등갈비김치찜,1268,672,닭감자조림 / 등갈비김치찜
2016-02-16,2016,0,-2.7,1.1,-6.7,겨울,2,화,탕수어,쇠불고기,1014,523,탕수어 / 쇠불고기
2016-02-17,2016,0,0.0,5.4,-5.2,겨울,2,수,쇠고기장조림,새우또띠아,916,588,쇠고기장조림 / 새우또띠아
2016-02-19,2016,0,2.3,4.4,0.1,겨울,2,금,마늘간장치킨,김치전,763,597,마늘간장치킨 / 김치전
2016-02-22,2016,0,1.1,4.2,-2.2,겨울,2,월,갈치구이,떡갈비조림,1298,645,갈치구이 / 떡갈비조림
2016-02-23,2016,0,0.7,4.5,-4.5,겨울,2,화,돈육간장볶음,해물까스&타르타르소스,899,610,돈육간장볶음 / 해물까스&타르타르소스
