Lunch_Rice_full,Lunch_Soup_,,Lunch_Main_Dish,Lunch_Main_Dish_Kcal,Lunch_Side_Dish_1,Lunch_Side_Dish_1_Kcal,Lunch_Side_Dish_2,Lunch_Side_Dish_2_Kcal,Lunch_Drink,Lunch_Drink_Kcal,Lunch_Kimchi,Lunch_Kimchi_Kcal,Lunch_side_Dish_3,Lunch_side_Dish_3_Kcal,Dinner_Rice,Dinner_Rice_Kcal,Dinner_Soup,Dinner_Soup_Kcal,Dinner_Main_Dish,Dinner_Main_Dish_Kcal,Dinner_Side_Dish_1,Dinner_Side_Dish_1_Kcal,Dinner_Side_Dish_2,Dinner_Side_Dish_2_Kcal,Dinner_Side_Dish_3,Dinner_Side_Dish_3_Kcal,Dinner_Drink,Dinner_Drink_Kcal,Dinner_Kimchi,Dinner_Kimchi_Kcal,,Lunch_Rice,Lunch_Rice_Kcal,,Lunch_Soup,Lunch_Soup_Kcal
"쌀밥/잡곡밥,210 kcal","오징어찌개,250 kcal",,쇠불고기,300 kcal,계란찜,150 kcal,청포묵무침,50,요구르트,100,포기김치,30,양상추샐러드*딸기요거트,80,쌀밥/잡곡밥,200,육개장,180,자반고등어구이,330,두부조림,200,건파래무침,30,바나나,90,음료,80,포기김치,30,,쌀밥/잡곡밥,210 kcal,,오징어찌개,250 kcal
"카레덮밥,380 kcal","김치찌개,280 kcal",,가자미튀김,450 kcal,모둠소세지구이,320 kcal,마늘쫑무침,50,부럼/요구르트,120,배추겉절이,25,양상추샐러드*오리엔탈,90,콩나물밥*양념장,250,어묵국,120,유산슬,250,아삭고추무침,100,새송이버섯볶음,50,요플레,100,매실쥬스/단무지,80,깍두기,25,,카레덮밥,380 kcal,,김치찌개,280 kcal
"낙지비빔밥,559 kcal","팽이장국,150 kcal",,치킨핑거,420 kcal,쫄면야채무침,250 kcal,견과류조림,180,요플레,120,깍두기,30,요구르트,70,미니김밥*겨자장,150,청국장찌개,250,황태양념구이,300,고기전,300,무피클,10,오렌지,60,천도복숭아,60,석박지,25,,낙지비빔밥,559 kcal,,팽이장국,150 kcal
"쌀밥/오곡밥,220 kcal","쇠고기무국,200 kcal",,주꾸미볶음,280 kcal,부추전,200 kcal,시금치나물,30,매실주스,70,무생채/포기김치,30,양상추샐러드*흑임자드레싱,100,참치회덮밥,450,우동,400,멕시칸샐러드,180,군고구마,180,콩나물무침,40,피크닉,150,딸기와플,200,통배추겉절이,20,,쌀밥/오곡밥,220 kcal,,쇠고기무국,200 kcal
"비빔밥,586 kcal","떡국,220 kcal",,돈육씨앗강정,400 kcal,우엉잡채,180 kcal,청경채무침,30,음료,70,열무김치,20,그린샐러드*오렌지드레싱/핫도그,150,볶음밥*자장소스,550,차돌박이찌개,300,닭갈비,350,감자소세지볶음,250,락교,15,참나물생채,30,주스,80,포기김치/무피클,30,,비빔밥,586 kcal,,떡국,220 kcal
"곤드레밥,240 kcal","시래기국,180 kcal",,훈제오리구이,350 kcal,도토리묵무침,120 kcal,쌈무/양파절임,20,오렌지주스,90,볶은김치,40,매실음료/콩자반,90,김밥,300,맑은국,100,군만두,200,과일샐러드,150,물파래무침,30,두반장가지나물,40,간장깻잎지/콘샐러드,50,열무김치,20,,곤드레밥,240 kcal,,시래기국,180 kcal
"콩나물밥*달래장,280 kcal","꽃게탕,300 kcal",,돈육굴소스볶음,320 kcal,옥수수전,180 kcal,유채나물,30,샐러드바:과일,50,석박지,30,시저샐러드*시저드레싱,120,멸치주먹밥,180,김치콩나물국,120,미니함박,250,어묵볶음,200,브로컬리초장,35,꼬들단무지,15,요구르트,100,오이소박이,15,,콩나물밥*달래장,280 kcal,,꽃게탕,300 kcal
"봄새싹비빔밥,320 kcal","시금치국,120 kcal",,닭감자조림,300 kcal,연두부*양념장,100 kcal,콩나물무침,30,크리스마스케익,250,포기김치/상추쌈,35,양상추샐러드/마카로니샐러드,130,카레덮밥,500,홍합미역국,150,등갈비김치찜,400,임연수구이,280,봄동무침,25,시금치나물,30,귤,60,배추겉절이,20,,봄새싹비빔밥,320 kcal,,시금치국,120 kcal
"콩나물밥,250 kcal","냉이된장국,130 kcal",,탕수어,450 kcal,오징어숙회무침,150 kcal,취나물,30,식혜,70,파김치,35,비타민흑임자샐러드*흑임자D,100,볶음밥,500,된장찌개,220,쇠불고기,300,해파리겨자채,120,부추오이생채,30,취나물땅콩무침,40,시금치흑임자샐러드,50,알타리김치,25,,콩나물밥,250 kcal,,냉이된장국,130 kcal
"나물비빔밥,373 kcal","유부장국,200 kcal",,쇠고기장조림,320 kcal,통도라지구이,160 kcal,치커리무침,30,조각케익,200,갓김치,30,치커리만다린샐러드*오렌지D,90,토마토스파게티,480,설렁탕,600,명태조림,280,,,미역레몬초무침,25,세발나물,30,연근흑임자샐러드,50,봄동겉절이,20,,나물비빔밥,373 kcal,,유부장국,200 kcal
