Date,Day,Total_Emp,Actual_Emp,Leave_Emp,Trip_Emp,OT_Approved,Remote_Emp,Lunch_Menu,Dinner_Menu,Lunch_Count,Dinner_Count,Holiday,Month,Date.1,Season,Lunch_Rice,Lunch_Soup,Lunch_Main_Dish,Lunch_Side_Dish_1,Lunch_Side_Dish_2,Lunch_Drink,Lunch_Kimchi,Lunch_side_Dish_3,Dinner_Rice,Dinner_Soup,Dinner_Main_Dish,Dinner_Side_Dish_1,Dinner_Side_Dish_2,Dinner_Side_Dish_3,Dinner_Drink,Dinner_Kimchi,Station,Avg_Temp,Max_Temp,Max_Temp_Time,Min_Temp,Min_Temp_Time,Temp_Range,Special_Day_Name,special_day
2016-02-01,월,2601,2401,50,150,238,0,"쌀밥/잡곡밥 (쌀,현미흑미:국내산) 오징어찌개  쇠불고기 (쇠고기:호주산) 계란찜  청포묵무침  요구르트  포기김치 (배추,고추가루:국내산) ","쌀밥/잡곡밥 (쌀,현미흑미:국내산) 육개장  자반고등어구이  두부조림  건파래무침  포기김치 (김치:국내산) ",0.6388650042992261,0.3657458563535912,2016,2,1,겨울,쌀밥/잡곡밥,오징어찌개,쇠불고기,계란찜,청포묵무침,요구르트,포기김치,,쌀밥/잡곡밥,육개장,자반고등어구이,두부조림,건파래무침,,,포기김치,서울,0.1831275720164609,0.19284294234592445,15:35,0.19427402862985685,6:06,8.1,,0
2016-02-02,화,2601,2378,50,173,319,0,"쌀밥/잡곡밥 (쌀,현미흑미:국내산) 김치찌개  가자미튀김  모둠소세지구이  마늘쫑무침  요구르트  배추겉절이 (배추,고추가루:국내산) ","콩나물밥*양념장 (쌀,현미흑미:국내산) 어묵국  유산슬 (쇠고기:호주산) 아삭고추무침  바나나  포기김치 (배추,고추가루:국내산) ",0.49097162510748066,0.6187845303867404,2016,2,2,겨울,쌀밥/잡곡밥,김치찌개,가자미튀김,모둠소세지구이,마늘쫑무침,요구르트,배추겉절이,,콩나물밥*양념장,어묵국,유산슬,아삭고추무침,,바나나,,포기김치,서울,0.19753086419753085,0.23061630218687873,16:01,0.17586912065439672,7:57,10.9,,0
2016-02-03,수,2601,2365,56,180,111,0,"카레덮밥 (쌀,현미흑미:국내산) 팽이장국  치킨핑거 (닭고기:국내산) 쫄면야채무침  견과류조림  요구르트  포기김치 (배추,고추가루:국내산) ","쌀밥/잡곡밥 (쌀,현미흑미:국내산) 청국장찌개  황태양념구이 (황태:러시아산) 고기전 (돼지고기:국내산) 새송이버섯볶음  포기김치 (배추,고추가루:국내산) ",0.6199484092863286,0.6331491712707182,2016,2,3,겨울,카레덮밥,팽이장국,치킨핑거,쫄면야채무침,견과류조림,요구르트,포기김치,,쌀밥/잡곡밥,청국장찌개,황태양념구이,고기전,새송이버섯볶음,,,포기김치,서울,0.257201646090535,0.2922465208747515,14:58,0.21063394683026582,7:36,12.3,,0
2016-02-04,목,2601,2277,104,220,355,0,"쌀밥/잡곡밥 (쌀,현미흑미:국내산) 쇠고기무국  주꾸미볶음  부추전  시금치나물  요구르트  포기김치 (배추,고추가루:국내산) ","미니김밥*겨자장 (쌀,현미흑미:국내산) 우동  멕시칸샐러드  군고구마  무피클  포기김치 (배추,고추가루:국내산) ",0.5864144453998281,0.5801104972375691,2016,2,4,겨울,쌀밥/잡곡밥,쇠고기무국,주꾸미볶음,부추전,시금치나물,요구르트,포기김치,,미니김밥*겨자장,우동,멕시칸샐러드,군고구마,무피클,,,포기김치,서울,0.29218106995884774,0.29025844930417494,14:48,0.2985685071574642,4:00,7.9,,0
2016-02-05,금,2601,2142,278,181,34,0,"쌀밥/잡곡밥 (쌀,현미흑미:국내산) 떡국  돈육씨앗강정 (돼지고기:국내산) 우엉잡채  청경채무침  요구르트  포기김치 (배추,고추가루:국내산) ","쌀밥/잡곡밥 (쌀,현미흑미:국내산) 차돌박이찌개 (쇠고기:호주산) 닭갈비 (닭고기:국내산) 감자소세지볶음  콩나물무침  포기김치 (배추,고추가루:국내산) ",0.5408426483233018,0.36464088397790057,2016,2,5,겨울,쌀밥/잡곡밥,떡국,돈육씨앗강정,우엉잡채,청경채무침,요구르트,포기김치,,쌀밥/잡곡밥,차돌박이찌개,닭갈비,감자소세지볶음,콩나물무침,,,포기김치,서울,0.2613168724279835,0.2803180914512923,15:04,0.2413087934560327,5:17,10.2,,0
2016-02-11,목,2601,2075,383,143,417,0,"쌀밥/잡곡밥 (쌀,현미흑미:국내산) 시래기국  훈제오리구이  도토리묵무침  쌈무/양파절임  요구르트  포기김치 (김치:국내산) ","참치회덮밥 (쌀,현미흑미:국내산) 맑은국  군만두  과일샐러드  락교  포기김치 (김치:국내산) ",0.64402407566638,0.6077348066298343,2016,2,11,겨울,쌀밥/잡곡밥,시래기국,훈제오리구이,도토리묵무침,쌈무/양파절임,요구르트,포기김치,,참치회덮밥,맑은국,군만두,과일샐러드,락교,,,포기김치,서울,0.4732510288065843,0.48111332007952284,16:03,0.41308793456032716,5:01,11.9,,0
2016-02-12,금,2601,2056,389,156,93,0,"쌀밥/잡곡밥 (쌀,현미흑미:국내산) 꽃게탕  돈육굴소스볶음  옥수수전  유채나물  요구르트  포기김치 (김치:국내산) ","쌀밥/잡곡밥 (쌀,현미흑미:국내산) 김치콩나물국  미니함박  어묵볶음  물파래무침  깍두기 (김치:국내산) ",0.5270851246775581,0.6607734806629835,2016,2,12,겨울,쌀밥/잡곡밥,꽃게탕,돈육굴소스볶음,옥수수전,유채나물,요구르트,포기김치,,쌀밥/잡곡밥,김치콩나물국,미니함박,어묵볶음,물파래무침,,,깍두기,서울,0.4794238683127572,0.411530815109344,0:01,0.5194274028629856,6:45,3.2,,0
2016-02-15,월,2601,2310,87,204,482,0,쌀밥/잡곡밥 (쌀:국내산) 시금치국  닭감자조림 (닭고기:국내산) 연두부*양념장  콩나물무침  요구르트  포기김치 (김치:국내산) ,"쌀밥/잡곡밥 (쌀:국내산) 홍합미역국  등갈비김치찜 (돼지고기,김치:국내산) 임연수구이  브로컬리초장  포기김치 (김치:국내산) ",0.8357695614789338,0.7425414364640884,2016,2,15,겨울,쌀밥/잡곡밥,시금치국,닭감자조림,연두부*양념장,콩나물무침,요구르트,포기김치,,쌀밥/잡곡밥,홍합미역국,등갈비김치찜,임연수구이,브로컬리초장,,,포기김치,서울,0.18724279835390945,0.16699801192842942,16:12,0.17586912065439672,7:07,7.7,,0
2016-02-16,화,2601,2293,72,236,526,0,쌀밥/잡곡밥 (쌀:국내산) 쇠고기무국 (쇠고기:호주산) 탕수어 (동태:러시아산) 오징어숙회무침  취나물  요구르트  포기김치 (김치:국내산) ,쌀밥/잡곡밥 (쌀:국내산) 된장찌개  쇠불고기 (쇠고기:호주산) 해파리겨자채  봄동무침  포기김치 (김치:국내산) ,0.6173688736027514,0.5779005524861879,2016,2,16,겨울,쌀밥/잡곡밥,쇠고기무국,탕수어,오징어숙회무침,취나물,요구르트,포기김치,,쌀밥/잡곡밥,된장찌개,쇠불고기,해파리겨자채,봄동무침,,,포기김치,서울,0.2510288065843621,0.2345924453280318,17:03,0.24335378323108384,5:53,7.8,,0
2016-02-17,수,2601,2273,78,250,23,0,쌀밥/잡곡밥 (쌀:국내산) 냉이된장국  쇠고기장조림 (쇠고기:호주산) 통도라지구이  치커리무침  요구르트  포기김치 (김치:국내산) ,볶음밥*자장소스 (쌀:국내산) 맑은국  새우또띠아  쨔샤이무침  요플레  포기김치 (김치:국내산) ,0.5331040412725709,0.6497237569060774,2016,2,17,겨울,쌀밥/잡곡밥,냉이된장국,쇠고기장조림,통도라지구이,치커리무침,요구르트,포기김치,,볶음밥*자장소스,맑은국,새우또띠아,쨔샤이무침,,요플레,,포기김치,서울,0.3065843621399177,0.32007952286282304,15:13,0.2740286298568507,5:40,10.6,,0
2016-02-18,목,2601,2270,77,254,367,0,"낙지비빔밥 (낙지:중국산,쌀:국내산) 유부장국  고구마치즈구이  해초무침  요구르트  요구르트  포기김치 (김치:국내산) ",쌀밥/잡곡밥 (쌀:국내산) 순두부찌개  명태조림 (명태:러시아산) 감자채볶음  쌈만두  포기김치 (김치:국내산) ,0.5279449699054171,0.5403314917127072,2016,2,18,겨울,낙지비빔밥,유부장국,,고구마치즈구이,해초무침,요구르트,포기김치,,쌀밥/잡곡밥,순두부찌개,명태조림,감자채볶음,쌈만두,,,포기김치,서울,0.3786008230452675,0.3677932405566601,16:10,0.35173824130879344,6:40,9.2,,0
