일자,요일,본사정원수,실질정원수,본사휴가자수,본사출장자수,본사시간외근무명령서승인건수,현본사소속재택근무자수,중식계,석식계,Month,Date,Season,New_lunch,New_dinner,lunch_rice,lunch_soup,lunch_main,dinner_rice,dinner_soup,dinner_main,평균기온(°C),일강수량(mm),평균 상대습도(%),휴일,휴일 전
2016-02-01,월,2601,2401,50,150,238,0,1039,331,2,1,겨울,0,0,밥,오징어찌개,쇠불고기,밥,육개장,자반고등어구이,-0.6,0.0,43.9,0,0
2016-02-02,화,2601,2378,50,173,319,0,867,560,2,2,겨울,0,0,밥,김치찌개,가자미튀김,콩나물밥*양념장,어묵국,유산슬,-2.3,0.0,47.5,0,0
2016-02-03,수,2601,2365,56,180,111,0,1017,573,2,3,겨울,0,0,카레덮밥,팽이장국,치킨핑거,밥,청국장찌개,황태양념구이,-1.7,0.0,57.1,0,0
2016-02-04,목,2601,2277,104,220,355,0,978,525,2,4,겨울,0,0,밥,쇠고기무국,주꾸미볶음,미니김밥*겨자장,우동,멕시칸샐러드,-0.2,0.0,53.4,0,0
2016-02-05,금,2601,2142,278,181,34,0,925,330,2,5,겨울,0,0,밥,떡국,돈육씨앗강정,밥,차돌박이찌개,닭갈비,1.3,0.0,44.4,1,1
2016-02-11,목,2601,2075,383,143,417,0,1045,550,2,11,겨울,0,0,밥,시래기국,훈제오리구이,참치회덮밥,맑은국,군만두,6.1,0.0,57.1,0,0
2016-02-12,금,2601,2056,389,156,93,0,909,598,2,12,겨울,0,0,밥,꽃게탕,돈육굴소스볶음,밥,김치콩나물국,미니함박,9.2,62.8,88.0,0,1
2016-02-15,월,2601,2310,87,204,482,0,1268,672,2,15,겨울,0,0,밥,시금치국,닭감자조림,밥,홍합미역국,등갈비김치찜,-1.5,0.0,38.4,0,0
2016-02-16,화,2601,2293,72,236,526,0,1014,523,2,16,겨울,0,0,밥,쇠고기무국,탕수어,밥,된장찌개,쇠불고기,0.2,0.0,59.6,0,0
2016-02-17,수,2601,2273,78,250,23,0,916,588,2,17,겨울,0,0,밥,냉이된장국,쇠고기장조림,볶음밥*자장소스,맑은국,새우또띠아,1.7,0.0,49.8,0,0
2016-02-18,목,2601,2270,77,254,367,0,910,489,2,18,겨울,0,0,낙지비빔밥,유부장국,고구마치즈구이,밥,순두부찌개,명태조림,2.3,0.0,61.8,0,0
2016-02-19,금,2601,2204,145,252,69,0,763,597,2,19,겨울,0,0,밥,대구찌개,마늘간장치킨,밥,설렁탕,김치전,5.0,0.0,58.9,0,1
2016-02-22,월,2601,2304,90,207,434,0,1298,645,2,22,겨울,0,0,밥,쇠고기느타리국,갈치구이,밥,옹심이만두국,떡갈비조림,3.4,0.0,45.5,0,0
2016-02-23,화,2601,2307,57,237,488,0,899,610,2,23,겨울,0,0,밥,콩나물국,돈육간장볶음,밥,콩비지찌개,해물까스&타르타르소스,5.5,0.0,39.5,0,0
2016-02-24,수,2601,2315,54,232,14,0,1022,514,2,24,겨울,0,0,비빔밥,팽이장국,소세지피망볶음,밥,열무된장국,매운돼지갈비찜,1.4,0.0,29.9,0,0
2016-02-25,목,2601,2284,56,261,335,0,917,531,2,25,겨울,0,0,밥,북어계란국,닭갈비,김밥,잔치국수,교자만두,0.8,0.0,32.8,0,0
2016-02-26,금,2601,2179,144,278,42,0,766,585,2,26,겨울,0,0,밥,수제비국,오징어볶음,밥,닭개장,삼치구이,1.8,0.0,61.0,0,1
2016-02-29,월,2601,1838,595,168,110,0,869,344,2,29,겨울,0,0,밥,얼갈이된장국,제육볶음,밥,버섯들깨탕,꽁치한마리구이,-0.2,0.0,43.8,1,1
2016-03-02,수,2624,2315,127,182,261,0,1127,631,3,2,봄,0,0,밥,쇠고기미역국,주꾸미볶음,밥,된장찌개,버섯불고기,3.8,0.0,49.6,0,0
2016-03-03,목,2624,2339,61,224,351,0,1000,473,3,3,봄,0,0,밥,근대된장국,탕수육,멸치주먹밥,우동,떡볶이,6.7,0.0,61.9,0,0
2016-03-04,금,2624,2294,83,247,79,0,837,673,3,4,봄,0,0,밥,부대찌개,가자미튀김,밥,오징어국,미트볼조림,8.2,36.1,88.4,0,1
2016-03-07,월,2624,2379,50,195,456,0,1326,625,3,7,봄,0,0,밥,콩나물국,닭갈비,밥,대구찌개,돈육굴소스볶음,11.0,0.0,67.8,0,0
2016-03-08,화,2624,2365,47,212,426,0,1026,609,3,8,봄,0,0,밥,차돌박이찌개,고등어김치말이,카레덮밥,가쯔오장국,수제고로케*케찹,8.0,3.3,65.1,0,0
2016-03-09,수,2624,2356,43,225,0,0,901,523,3,9,봄,0,0,밥,북어국,돈육장조림,밥,육개장,생선까스*탈탈소스,5.2,6.8,56.6,0,0
2016-03-10,목,2624,2324,55,245,290,0,847,525,3,10,봄,0,0,밥,고추장찌개,닭데리야끼조림,볶음밥,짬뽕,개성감자만두,3.0,0.0,33.0,0,0
2016-03-11,금,2624,2241,108,275,76,0,728,591,3,11,봄,0,0,밥,배추된장국,수제돈가스,밥,연두부탕,코다리무조림,2.0,0.0,34.1,0,1
2016-03-14,월,2624,2380,61,183,376,0,1286,586,3,14,봄,0,0,밥,어묵국,돈육고추장볶음,밥,달래된장찌개,간장찜닭,5.5,0.0,50.5,0,0
2016-03-15,화,2624,2355,38,231,399,0,958,545,3,15,봄,0,0,밥,쑥국,소불고기,짜장잡채덮밥,계란파국,참치야채전,5.9,0.0,49.1,0,0
2016-03-16,수,2624,2361,50,213,0,0,998,531,3,16,봄,0,0,곤드레밥,콩나물김치국,미니채소떡갈비,밥,뼈해장국,해물청경채볶음,8.4,0.0,53.1,0,0
2016-03-17,목,2624,2330,52,242,327,0,832,548,3,17,봄,0,0,밥,사골우거지국,탕수어,토마토스파게티,양송이스프,미니햄버거,9.3,0.0,55.3,0,0
2016-03-18,금,2624,2229,118,277,57,0,757,521,3,18,봄,0,0,밥,시금치국,훈제오리구이,밥,닭곰탕,임연수찜,9.8,27.6,89.3,0,1
2016-03-21,월,2624,2354,65,205,329,0,1030,605,3,21,봄,0,0,밥,꽃게탕,버섯불고기,밥,수제비국,아귀콩나물찜,9.3,0.0,62.5,0,0
2016-03-22,화,2624,2375,41,208,378,0,917,585,3,22,봄,0,0,밥,쇠고기샤브국,코다리강정,굴소스파인볶음밥,가쯔오장국,찹쌀순대볶음,9.6,0.0,64.5,0,0
2016-03-23,수,2624,2346,42,236,0,0,963,544,3,23,봄,0,0,콩나물밥*달래장,맑은국,치킨텐더*요거트D,밥,알탕,동그랑땡전,10.5,0.0,52.3,0,0
2016-03-24,목,2624,2320,53,251,293,0,876,507,3,24,봄,0,0,밥,북어계란국,쇠고기장조림,참치회덮밥,미소장국,군만두,8.3,0.0,45.6,0,0
2016-03-25,금,2624,2251,98,275,59,0,861,523,3,25,봄,0,0,밥,닭개장,자반고등어구이,밥,냉이된장찌개,누룽지탕수육,6.8,2.8,70.8,0,1
2016-03-28,월,2624,2350,77,197,299,0,1193,637,3,28,봄,0,0,밥,얼갈이된장국,닭갈비,밥,콩비지찌개,유산슬,8.4,0.0,49.9,0,0
2016-03-29,화,2624,2327,52,245,259,0,892,465,3,29,봄,0,0,밥,옹심이만두국,주꾸미볶음,햄볶음밥,유부장국,돈육씨앗강정,10.7,0.0,60.0,0,0
2016-03-30,수,2624,2346,48,230,0,0,1033,463,3,30,봄,0,0,봄새싹비빔밥,쪽파국,오징어튀김,밥,어묵국,등갈비김치찜,13.8,0.0,53.6,0,0
2016-03-31,목,2624,2340,36,248,158,0,781,526,3,31,봄,0,0,밥,매운콩나물국,돈육굴소스볶음,주먹밥,잔치국수,또띠아피자,12.0,0.0,61.9,0,0
2016-04-01,금,2643,2286,103,254,47,0,661,591,4,1,봄,0,0,밥,버섯들깨탕,갈치조림,밥,쇠고기미역국,순살깐풍기,13.6,0.0,57.3,0,1
2016-04-04,월,2643,2360,62,221,367,0,1237,614,4,4,봄,0,0,밥,순두부찌개,쇠불고기,밥,된장찌개,고등어조림,11.2,2.6,81.9,0,0
2016-04-05,화,2643,2370,31,242,370,0,840,555,4,5,봄,0,0,밥,북어국,오징어볶음*소면,김치볶음밥,가쯔오장국,감자치즈구이,12.4,0.0,66.8,0,0
2016-04-06,수,2643,2357,37,249,0,0,876,492,4,6,봄,0,0,밥,올갱이아욱국,제육볶음,밥,매운버섯국,찜닭,11.8,26.1,64.9,0,0
2016-04-07,목,2643,2338,47,258,339,0,853,524,4,7,봄,0,0,밥,어묵국,매운돼지갈비찜,김밥,우동,야채튀김,12.2,28.7,82.5,0,0
2016-04-08,금,2643,2273,87,283,64,0,764,542,4,8,봄,0,0,밥,배추된장국,순살양념치킨,밥,오징어국,미니함박,15.0,0.0,60.3,0,1
2016-04-11,월,2643,2358,82,203,392,0,1225,536,4,11,봄,0,0,밥,시래기국,훈제오리구이,밥,쇠고기무국,가자미찜,10.8,0.0,66.0,0,0
2016-04-12,화,2643,2342,76,225,239,0,771,500,4,12,봄,0,0,밥,부대찌개,쇠고기단호박조림,치킨마요덮밥,유부주머니국,떡볶이,11.5,3.1,58.6,1,1
2016-04-14,목,2643,2285,106,252,326,0,969,562,4,14,봄,0,0,밥,수제비국,돈육굴소스볶음,비빔밥,팽이버섯장국,새우또띠아,17.1,0.0,57.6,0,0
2016-04-15,금,2643,2231,131,281,82,0,579,582,4,15,봄,0,0,밥,냉이된장찌개,닭데리야끼조림,밥,들깨미역국,수제돈가스,12.9,0.0,59.3,0,1
